M,N,K,Kernel,Threads,PR,PC,SerialTime(s),AvgTime(s),FLOPS,Speedup,Error
12288,4096,20,4,1024,4,4,0.302,0.049,4.124169e+10,6.193688e+00,8.771971e-07
12288,4096,32,4,64,4,4,0.409,0.010,3.301401e+11,4.187974e+01,8.794995e-07
12288,4096,32,4,256,4,4,0.409,0.021,1.564351e+11,1.984449e+01,8.794995e-07
12288,4096,32,4,576,4,4,0.409,0.040,8.023196e+10,1.017778e+01,8.794995e-07
12288,4096,32,4,1024,4,4,0.409,0.068,4.733350e+10,6.004465e+00,8.794995e-07
24576,8192,3,4,64,4,4,0.775,0.009,1.306041e+11,8.375926e+01,1.238707e-06
24576,8192,3,4,256,4,4,0.775,0.011,1.098911e+11,7.047554e+01,1.238707e-06
24576,8192,3,4,576,4,4,0.775,0.021,5.773701e+10,3.702800e+01,1.238707e-06
24576,8192,3,4,1024,4,4,0.775,0.041,2.930909e+10,1.879656e+01,1.238707e-06
24576,8192,6,4,64,4,4,0.914,0.011,2.175688e+11,8.228224e+01,1.240435e-06
24576,8192,6,4,256,4,4,0.914,0.014,1.692835e+11,6.402124e+01,1.240435e-06
24576,8192,6,4,576,4,4,0.914,0.027,9.052548e+10,3.423578e+01,1.240435e-06
24576,8192,6,4,1024,4,4,0.914,0.052,4.681590e+10,1.770528e+01,1.240435e-06
24576,8192,8,4,64,4,4,0.770,0.012,2.702182e+11,6.463388e+01,1.240806e-06
24576,8192,8,4,256,4,4,0.770,0.015,2.147939e+11,5.137686e+01,1.240806e-06
24576,8192,8,4,576,4,4,0.770,0.030,1.061199e+11,2.538298e+01,1.240806e-06
24576,8192,8,4,1024,4,4,0.770,0.057,5.692517e+10,1.361601e+01,1.240806e-06
24576,8192,20,4,64,4,4,1.207,0.022,3.621958e+11,5.426414e+01,1.234694e-06
24576,8192,20,4,256,4,4,1.207,0.028,2.826557e+11,4.234745e+01,1.234694e-06
24576,8192,20,4,576,4,4,1.207,0.055,1.473347e+11,2.207367e+01,1.234694e-06
24576,8192,20,4,1024,4,4,1.207,0.096,8.371432e+10,1.254207e+01,1.234694e-06
24576,8192,32,4,64,4,4,1.659,0.043,3.013092e+11,3.879683e+01,1.236450e-06
24576,8192,32,4,256,4,4,1.659,0.044,2.951830e+11,3.800801e+01,1.236450e-06
24576,8192,32,4,576,4,4,1.659,0.079,1.635178e+11,2.105470e+01,1.236450e-06
24576,8192,32,4,1024,4,4,1.659,0.137,9.409383e+10,1.211560e+01,1.236450e-06
49152,16384,3,4,64,4,4,3.189,0.027,1.760477e+11,1.161803e+02,1.751138e-06
49152,16384,3,4,256,4,4,3.189,0.028,1.751518e+11,1.155891e+02,1.751138e-06
49152,16384,3,4,576,4,4,3.189,0.043,1.129868e+11,7.456411e+01,1.751138e-06
49152,16384,3,4,1024,4,4,3.189,0.085,5.716656e+10,3.772630e+01,1.751138e-06
49152,16384,6,4,64,4,4,3.711,0.040,2.433446e+11,9.345660e+01,1.746547e-06
49152,16384,6,4,256,4,4,3.711,0.039,2.473344e+11,9.498889e+01,1.746547e-06
49152,16384,6,4,576,4,4,3.711,0.055,1.768067e+11,6.790270e+01,1.746547e-06
