M,N,K,Kernel,Threads,PR,PC,SerialTime(s),AvgTime(s),FLOPS,Speedup,Error
4096,8192,32,4,576,4,4,0.284,0.077,2.781274e+10,3.671923e+00,1.237399e-06
4096,8192,32,4,1024,4,4,0.284,0.135,1.591432e+10,2.101057e+00,1.237399e-06
8192,16384,3,4,64,4,4,0.529,0.013,6.071530e+10,3.990732e+01,1.756138e-06
8192,16384,3,4,256,4,4,0.529,0.020,3.996941e+10,2.627134e+01,1.756138e-06
8192,16384,3,4,576,4,4,0.529,0.041,1.975977e+10,1.298782e+01,1.756138e-06
8192,16384,3,4,1024,4,4,0.529,0.079,1.017030e+10,6.684794e+00,1.756138e-06
8192,16384,6,4,64,4,4,0.612,0.015,1.055434e+11,4.013558e+01,1.740749e-06
8192,16384,6,4,256,4,4,0.612,0.027,6.003340e+10,2.282923e+01,1.740749e-06
8192,16384,6,4,576,4,4,0.612,0.052,3.103673e+10,1.180251e+01,1.740749e-06
8192,16384,6,4,1024,4,4,0.612,0.100,1.614894e+10,6.141045e+00,1.740749e-06
8192,16384,8,4,64,4,4,0.513,0.015,1.471710e+11,3.518587e+01,1.734534e-06
8192,16384,8,4,256,4,4,0.513,0.028,7.784054e+10,1.861024e+01,1.734534e-06
8192,16384,8,4,576,4,4,0.513,0.059,3.643327e+10,8.710525e+00,1.734534e-06
8192,16384,8,4,1024,4,4,0.513,0.113,1.908181e+10,4.562110e+00,1.734534e-06
8192,16384,20,4,64,4,4,0.872,0.025,2.184068e+11,3.548356e+01,1.744045e-06
8192,16384,20,4,256,4,4,0.872,0.056,9.672036e+10,1.571371e+01,1.744045e-06
8192,16384,20,4,576,4,4,0.872,0.108,4.975223e+10,8.083016e+00,1.744045e-06
8192,16384,20,4,1024,4,4,0.872,0.191,2.815343e+10,4.573958e+00,1.744045e-06
8192,16384,32,4,64,4,4,1.159,0.034,2.520251e+11,3.400575e+01,1.744954e-06
8192,16384,32,4,256,4,4,1.159,0.081,1.059885e+11,1.430103e+01,1.744954e-06
8192,16384,32,4,576,4,4,1.159,0.154,5.588071e+10,7.539987e+00,1.744954e-06
8192,16384,32,4,1024,4,4,1.159,0.270,3.180075e+10,4.290877e+00,1.744954e-06
16384,32768,3,4,64,4,4,2.064,0.030,1.091302e+11,6.991774e+01,2.475202e-06
16384,32768,3,4,256,4,4,2.064,0.042,7.702125e+10,4.934614e+01,2.475202e-06
16384,32768,3,4,576,4,4,2.064,0.083,3.878735e+10,2.485036e+01,2.475202e-06
16384,32768,3,4,1024,4,4,2.064,0.157,2.047173e+10,1.311587e+01,2.475202e-06
16384,32768,6,4,64,4,4,2.442,0.036,1.771262e+11,6.713241e+01,2.462384e-06
16384,32768,6,4,256,4,4,2.442,0.056,1.157291e+11,4.386237e+01,2.462384e-06
16384,32768,6,4,576,4,4,2.442,0.106,6.066340e+10,2.299197e+01,2.462384e-06
16384,32768,6,4,1024,4,4,2.442,0.200,3.221969e+10,1.221155e+01,2.462384e-06
16384,32768,8,4,64,4,4,2.076,0.040,2.133573e+11,5.156785e+01,2.462196e-06
16384,32768,8,4,256,4,4,2.076,0.057,1.502621e+11,3.631791e+01,2.462196e-06
16384,32768,8,4,576,4,4,2.076,0.122,7.017170e+10,1.696030e+01,2.462196e-06
16384,32768,8,4,1024,4,4,2.076,0.223,3.847778e+10,9.299970e+00,2.462196e-06
16384,32768,20,4,64,4,4,3.215,0.084,2.568933e+11,3.845449e+01,2.473102e-06
16384,32768,20,4,256,4,4,3.215,0.114,1.879414e+11,2.813305e+01,2.473102e-06
16384,32768,20,4,576,4,4,3.215,0.216,9.964859e+10,1.491645e+01,2.473102e-06
16384,32768,20,4,1024,4,4,3.215,0.381,5.641543e+10,8.444854e+00,2.473102e-06
16384,32768,32,4,64,4,4,4.495,0.157,2.186052e+11,2.859857e+01,2.468954e-06
16384,32768,32,4,256,4,4,4.495,0.169,2.038258e+11,2.666508e+01,2.468954e-06
16384,32768,32,4,576,4,4,4.495,0.308,1.117062e+11,1.461373e+01,2.468954e-06
16384,32768,32,4,1024,4,4,4.495,0.544,6.311805e+10,8.257286e+00,2.468954e-06
